HomeTeam;AwayTeam;DateTime;FTHG;FTAG;HGE;AGE;HPB;APB;HTG;ATG;HCG;ACG;HCF;ACF;HCB;ACB;HFC;AFC;HES;AES;HIP;AIP;HLC;ALC;HDG;ADG;HFT;AFT;HCV;ACV;HCA;ACA;HPT;APT;HPC;APC;HATK;AATK;HATKP;AATKP
Athletico-PR;Red Bull Bragantino;08.10.2023 18:30;1;1;1.75;0.50;44%;56%;20;12;6;3;12;7;2;2;15;21;8;7;6;0;23;23;2;5;13;15;-;-;2;4;313;445;235;360;95;103;34;49
Atlético-MG;Coritiba;08.10.2023 18:30;1;2;0.72;0.74;59%;41%;12;10;4;6;5;3;3;1;8;14;2;5;1;1;25;16;4;3;12;7;-;-;2;2;593;390;516;308;133;100;68;31
Fortaleza;América-MG;08.10.2023 18:30;3;2;2.34;1.92;60%;40%;16;14;4;3;7;7;5;4;14;12;9;2;3;2;20;12;1;1;10;12;-;-;2;1;490;319;417;242;119;80;60;28
Fluminense;Botafogo;08.10.2023 16:00;0;2;-;-;60%;40%;19;11;5;5;10;6;4;0;11;18;3;2;3;0;24;17;3;5;15;14;-;-;2;2;628;326;546;254;137;65;65;36
Internacional;Grêmio;08.10.2023 16:00;3;2;2.62;0.38;49%;51%;16;7;7;2;8;0;1;5;12;20;4;1;5;3;19;28;0;4;15;9;-;-;6;4;357;420;296;340;97;97;32;55
Palmeiras;Santos;08.10.2023 16:00;1;2;0.89;0.43;68%;32%;24;11;7;10;13;1;4;0;12;14;6;2;7;1;27;16;8;6;7;11;-;-;2;3;547;230;481;166;143;68;48;34
Corinthians;Flamengo;07.10.2023 21:00;1;1;1.94;0.61;44%;56%;14;20;5;7;4;6;5;7;8;8;2;8;2;1;24;13;6;4;5;12;-;-;3;3;422;493;350;429;94;126;45;51
Vasco;São Paulo;07.10.2023 18:30;0;0;0.72;1.29;40%;60%;8;11;2;5;5;4;1;2;8;16;7;3;3;1;15;17;5;2;14;7;-;-;3;1;380;550;308;495;101;100;45;32
Goiás;Bahia;07.10.2023 16:00;4;6;2.37;1.80;59%;41%;20;10;7;8;9;2;4;0;7;9;6;4;2;1;36;13;2;3;8;6;-;-;2;2;524;283;437;215;139;54;72;16
Botafogo;Goiás;02.10.2023 20:00;1;1;0.94;0.52;56%;44%;15;8;6;3;6;4;3;1;17;17;8;3;1;2;24;24;2;5;18;16;-;-;4;4;513;355;415;266;126;112;62;30
Red Bull Bragantino;Palmeiras;01.10.2023 18:30;2;1;3.44;1.47;62%;38%;22;9;8;3;10;6;4;0;22;14;6;4;0;3;25;29;2;6;14;19;-;-;4;2;566;285;475;194;137;56;69;31
Coritiba;Athletico-PR;01.10.2023 16:00;2;0;0.60;0.47;44%;56%;6;11;3;6;3;2;0;3;15;23;2;11;3;2;16;43;6;1;20;13;-;-;2;4;274;481;208;394;81;106;24;43
Cruzeiro;América-MG;01.10.2023 16:00;1;1;0.74;0.86;57%;43%;16;17;2;7;10;8;4;2;10;16;9;7;2;1;12;17;6;1;15;10;1;0;3;3;540;356;459;271;118;90;67;47
Santos;Vasco;01.10.2023 16:00;4;1;2.50;0.83;42%;58%;13;11;5;4;3;6;5;1;13;23;5;11;4;2;12;22;3;1;19;11;2;1;5;1;300;547;240;470;73;115;52;54
Internacional;Atlético-MG;30.09.2023 21:00;0;2;0.71;1.67;58%;42%;14;9;4;5;6;4;4;0;11;19;4;4;0;1;23;16;3;4;17;11;1;0;1;1;597;329;519;257;144;74;51;23
Cuiabá;Fluminense;30.09.2023 18:30;3;0;1.13;0.25;59%;41%;17;7;6;2;8;2;3;3;14;19;7;0;2;3;11;11;2;3;18;12;0;1;3;4;576;379;507;334;116;64;60;17
São Paulo;Corinthians;30.09.2023 18:30;2;1;2.03;0.18;53%;47%;19;6;7;2;7;2;5;2;15;16;11;4;2;1;18;12;1;5;14;14;-;-;5;2;502;413;442;351;119;80;52;28
Flamengo;Bahia;30.09.2023 16:00;1;0;1.27;0.53;64%;36%;15;6;5;4;6;2;4;0;15;12;12;2;1;3;13;20;4;4;11;12;0;1;1;2;552;291;475;227;128;80;86;28
Fortaleza;Grêmio;30.09.2023 16:00;1;1;1.78;1.66;52%;48%;17;14;6;4;9;8;2;2;8;8;3;7;1;1;14;14;3;5;9;11;-;-;1;2;506;441;440;379;122;115;45;48
São Paulo;Coritiba;27.09.2023 19:00;2;1;1.32;0.74;62%;38%;17;7;8;2;5;2;4;3;12;13;4;3;2;0;32;24;1;6;12;12;-;-;2;3;602;337;524;259;138;67;65;36
América-MG;Vasco;25.09.2023 20:00;0;1;1.46;0.60;39%;61%;17;15;8;3;7;7;2;5;17;17;3;8;1;2;16;24;2;8;16;15;2;0;2;2;305;608;235;511;105;122;38;76
Atlético-MG;Cuiabá;23.09.2023 21:00;1;0;0.58;0.38;60%;40%;7;7;3;3;4;3;0;1;14;14;6;3;3;1;12;10;3;2;15;14;-;-;3;3;566;318;493;251;136;75;55;33
Corinthians;Botafogo;22.09.2023 20:00;1;0;1.42;0.36;63%;37%;18;9;5;2;12;5;1;2;9;19;6;1;2;1;21;14;2;4;18;8;0;1;4;4;664;354;598;283;147;91;59;35
Grêmio;Palmeiras;21.09.2023 21:30;1;0;-;-;38%;62%;7;16;2;3;4;9;1;4;13;15;2;11;1;3;19;27;3;1;15;14;1;0;5;3;257;456;182;374;77;124;25;62
Athletico-PR;Internacional;21.09.2023 19:30;2;1;0.70;0.50;44%;56%;14;12;6;4;8;6;0;2;17;14;7;5;1;1;27;21;3;4;12;17;-;-;3;5;339;471;268;400;103;98;28;32
Vasco;Coritiba;21.09.2023 19:00;5;1;4.16;0.54;51%;49%;19;7;12;3;3;2;4;2;17;11;4;0;1;2;28;11;2;7;10;15;-;-;1;3;496;400;422;356;94;93;51;31
Fluminense;Cruzeiro;20.09.2023 21:30;1;0;0.53;0.59;58%;42%;11;7;4;3;7;3;0;1;17;9;7;3;3;2;19;20;3;3;6;15;-;-;6;1;584;409;514;327;129;78;45;31
São Paulo;Fortaleza;20.09.2023 21:30;1;2;1.61;1.19;64%;36%;13;8;7;4;4;3;2;1;13;16;9;0;0;0;20;18;2;6;20;13;-;-;3;6;718;242;609;182;166;59;70;16
Goiás;Flamengo;20.09.2023 19:00;0;0;0.11;0.49;37%;63%;7;10;1;2;5;3;1;5;14;15;3;2;3;1;23;27;2;1;15;14;-;-;1;3;321;617;241;531;87;140;33;48
América-MG;Red Bull Bragantino;19.09.2023 21:30;0;2;1.18;1.88;41%;59%;6;20;2;6;2;8;2;6;19;8;2;14;0;2;26;26;4;2;7;16;-;-;1;2;304;496;208;399;76;152;28;86
Corinthians;Grêmio;18.09.2023 21:00;4;4;2.28;0.88;54%;46%;18;16;8;7;7;7;3;2;10;18;6;4;1;1;19;14;3;4;17;9;-;-;1;1;524;461;456;392;84;109;47;38
Bahia;Santos;18.09.2023 20:00;1;2;0.93;3.11;59%;41%;17;15;5;8;10;6;2;1;16;15;6;8;2;2;27;13;6;4;13;13;-;-;1;2;563;326;484;257;122;78;50;34
Atlético-MG;Botafogo;16.09.2023 21:00;1;0;1.62;0.14;46%;54%;12;6;5;0;5;2;2;4;14;18;5;3;4;1;12;11;0;4;15;12;-;-;2;1;373;530;313;461;90;113;27;33
Vasco;Fluminense;16.09.2023 16:00;4;2;1.61;2.29;37%;63%;8;19;4;8;3;7;1;4;8;13;4;11;0;1;12;18;6;0;12;7;-;-;4;1;256;635;205;559;55;145;31;111
Palmeiras;Goiás;15.09.2023 21:30;1;0;1.20;0.48;59%;41%;17;6;6;2;7;3;4;1;24;13;6;3;2;5;27;17;2;5;12;19;0;1;3;3;606;316;492;230;157;70;65;19
Cuiabá;América-MG;15.09.2023 20:00;2;2;1.38;0.34;56%;44%;20;8;9;3;4;3;7;2;16;12;9;1;3;1;12;23;1;7;11;17;0;1;1;4;565;327;482;234;140;97;63;29
Red Bull Bragantino;Grêmio;14.09.2023 21:30;2;0;1.23;1.51;57%;43%;14;12;4;4;8;4;2;4;17;23;5;1;3;1;19;20;4;2;21;16;-;-;4;2;538;382;452;302;150;83;63;34
Coritiba;Bahia;14.09.2023 20:00;2;4;1.13;4.36;53%;47%;14;14;6;9;8;4;0;1;16;18;7;2;5;1;21;19;5;4;14;17;-;-;3;1;456;357;388;271;127;72;40;24
Fortaleza;Corinthians;14.09.2023 19:00;2;1;3.01;0.53;53%;47%;21;5;6;2;9;3;6;0;17;13;6;3;0;1;18;14;1;4;14;16;-;-;1;2;486;427;413;367;134;71;59;38
Santos;Cruzeiro;14.09.2023 19:00;0;3;0.43;1.28;52%;48%;12;14;2;7;9;5;1;2;14;9;8;9;1;1;16;27;4;2;9;13;-;-;3;2;451;377;361;290;106;96;77;41
Flamengo;Athletico-PR;13.09.2023 21:30;0;3;0.54;2.37;56%;44%;13;15;5;9;3;3;5;3;19;13;8;2;4;0;22;22;6;5;11;19;1;0;2;2;538;378;463;295;127;72;45;24
Internacional;São Paulo;13.09.2023 21:30;2;1;1.25;1.33;43%;57%;12;10;5;2;3;6;4;2;14;16;4;7;0;0;14;15;1;3;17;14;-;-;5;4;431;581;362;505;114;113;45;45
América-MG;Santos;03.09.2023 18:30;2;0;1.27;0.87;40%;60%;12;10;7;2;5;7;0;1;17;17;3;5;4;2;18;18;2;5;14;16;0;1;1;4;375;618;293;531;118;125;40;64
Bahia;Vasco;03.09.2023 18:30;1;1;1.66;1.22;50%;50%;10;5;3;1;5;3;2;1;18;20;6;0;2;2;16;18;0;2;20;17;0;1;2;3;458;434;371;343;141;96;41;29
Cruzeiro;Red Bull Bragantino;03.09.2023 18:30;0;0;1.13;1.18;50%;50%;14;12;4;5;8;4;2;3;17;19;8;5;4;3;37;25;5;4;16;15;-;-;1;5;373;331;269;248;72;116;62;35
Corinthians;Palmeiras;03.09.2023 16:00;0;0;0.57;0.59;45%;55%;6;18;2;4;4;7;0;7;18;15;2;11;2;1;15;22;4;2;13;17;1;1;1;4;400;516;348;439;84;131;28;70
Fluminense;Fortaleza;03.09.2023 16:00;1;0;0.60;0.70;61%;39%;13;19;5;5;4;10;4;4;18;16;5;7;4;2;16;10;5;4;13;16;-;-;4;3;555;325;483;247;111;98;45;31
Grêmio;Cuiabá;03.09.2023 11:00;2;0;0.72;1.11;43%;57%;10;16;5;3;4;7;1;6;16;21;2;9;3;0;24;12;3;3;18;16;-;-;2;1;418;554;351;482;81;130;33;51
Botafogo;Flamengo;02.09.2023 21:00;1;2;1.05;0.85;44%;56%;17;12;7;4;7;4;3;4;10;15;12;6;1;2;17;17;2;6;14;8;-;-;2;3;461;498;373;428;116;105;53;39
Athletico-PR;Atlético-MG;02.09.2023 16:00;1;1;1.45;0.30;52%;48%;22;9;7;7;12;2;3;0;13;15;12;7;1;1;14;5;6;6;13;13;1;0;3;3;459;406;386;325;127;93;61;43
Goiás;Internacional;02.09.2023 16:00;0;0;0.98;1.02;39%;61%;9;11;2;2;6;6;1;3;15;14;5;5;3;2;17;12;2;2;15;13;2;1;3;3;342;596;256;524;105;117;37;25
Grêmio;Cruzeiro;27.08.2023 19:00;3;0;1.44;0.81;42%;58%;8;6;4;1;3;5;1;0;19;16;6;5;5;0;11;23;1;1;12;19;-;-;4;3;310;475;245;385;94;118;36;53
Athletico-PR;Fluminense;27.08.2023 18:30;2;2;0.93;2.96;35%;65%;10;21;4;8;5;7;1;6;14;7;2;8;1;4;14;21;6;2;9;15;1;0;3;3;239;594;165;523;59;122;19;79
Fortaleza;Coritiba;27.08.2023 18:30;3;1;2.31;0.95;53%;47%;12;9;7;2;2;4;3;3;21;23;2;3;1;0;26;26;1;4;21;21;-;-;3;6;454;358;377;290;120;90;38;26
Palmeiras;Vasco;27.08.2023 18:30;1;0;0.85;0.14;55%;45%;15;4;7;2;7;2;1;0;16;21;9;2;2;1;14;20;2;6;20;14;-;-;2;2;547;453;476;382;133;104;60;31
América-MG;São Paulo;27.08.2023 16:00;2;1;1.32;1.37;28%;72%;9;13;4;5;3;3;2;5;9;22;4;6;2;0;13;21;4;2;20;9;1;1;5;1;221;653;150;562;86;145;36;58
Atlético-MG;Santos;27.08.2023 16:00;2;0;1.02;0.54;54%;46%;15;13;7;0;6;10;2;3;13;24;5;2;2;1;18;13;0;5;22;12;-;-;5;2;511;391;455;340;88;67;54;29
Botafogo;Bahia;27.08.2023 16:00;3;0;0.48;0.64;44%;56%;10;17;5;6;4;8;1;3;12;15;4;7;1;3;22;28;6;2;14;10;-;-;2;3;374;489;299;406;90;144;32;51
Red Bull Bragantino;Cuiabá;27.08.2023 11:00;2;0;1.20;0.49;58%;42%;10;6;4;3;4;2;2;1;13;20;10;2;1;0;29;31;3;2;21;14;-;-;4;3;550;288;440;187;136;82;86;22
Corinthians;Goiás;26.08.2023 21:00;1;1;1.00;1.79;60%;40%;18;16;7;4;3;10;8;2;15;15;7;6;0;0;25;16;3;6;15;15;-;-;3;1;662;379;583;303;122;92;79;39
Flamengo;Internacional;26.08.2023 18:30;0;0;0.45;0.22;56%;44%;9;4;5;1;4;2;0;1;23;13;6;3;2;3;20;19;1;5;13;20;-;-;2;4;534;386;454;313;124;87;53;25
Goiás;Athletico-PR;21.08.2023 20:00;1;1;0.93;0.99;47%;53%;13;13;3;5;8;7;2;1;19;17;4;7;2;2;34;17;4;2;15;16;-;-;2;4;368;428;283;355;86;106;42;40
Bahia;Red Bull Bragantino;20.08.2023 16:00;4;0;1.63;0.62;50%;50%;12;11;5;7;6;2;1;2;23;11;4;7;1;5;18;28;7;1;11;18;-;-;2;5;362;359;264;280;105;125;28;49
Coritiba;Flamengo;20.08.2023 16:00;2;3;2.34;1.98;43%;57%;15;16;4;5;8;10;3;1;8;11;4;5;2;0;16;22;2;2;9;8;-;-;3;3;326;498;248;433;89;104;39;45
Santos;Grêmio;20.08.2023 16:00;2;1;1.93;0.42;56%;44%;19;9;6;4;9;2;4;3;22;16;9;4;0;2;19;22;3;4;16;21;0;1;6;6;428;320;351;256;102;92;63;36
Vasco;Atlético-MG;20.08.2023 11:00;1;0;1.90;0.55;43%;57%;16;10;3;5;10;4;3;1;14;21;3;7;1;0;24;25;5;2;20;14;-;-;6;3;353;510;282;434;96;128;43;45
Cruzeiro;Corinthians;19.08.2023 21:00;1;1;1.92;0.65;43%;57%;18;5;7;2;8;3;3;0;13;18;10;3;1;1;11;27;1;6;17;13;-;-;3;3;409;527;344;448;100;119;47;44
Cuiabá;Palmeiras;19.08.2023 18:30;0;2;-;-;50%;50%;13;17;2;5;6;7;5;5;19;19;9;2;2;1;27;12;3;2;17;18;-;-;2;6;432;384;337;323;107;82;65;43
Fluminense;América-MG;19.08.2023 18:30;3;1;-;-;68%;32%;17;13;6;3;8;7;3;3;11;9;7;1;3;0;15;15;2;3;7;11;-;-;1;1;703;261;612;201;138;65;61;27
Internacional;Fortaleza;19.08.2023 16:00;0;1;0.80;1.19;69%;31%;17;7;4;3;11;3;2;1;13;13;10;7;1;1;18;19;2;4;12;12;-;-;4;5;706;231;607;146;150;69;59;34
São Paulo;Botafogo;19.08.2023 16:00;0;0;0.65;0.62;60%;40%;12;10;4;1;7;6;1;3;7;18;5;2;7;0;17;21;1;4;12;9;-;-;3;2;586;339;498;261;94;107;40;39
Athletico-PR;Cuiabá;15.08.2023 20:00;2;0;0.82;1.12;55%;45%;12;12;6;1;4;9;2;2;12;21;5;3;1;1;15;14;1;4;22;12;-;-;5;3;432;329;363;270;93;105;41;34
Red Bull Bragantino;Vasco;14.08.2023 21:00;1;1;1.49;1.39;60%;40%;22;8;7;4;8;2;7;2;17;11;7;6;0;4;22;22;3;6;11;17;-;-;3;5;498;267;413;187;148;76;75;31
Palmeiras;Cruzeiro;14.08.2023 19:00;1;0;1.15;0.63;54%;46%;11;11;4;4;5;5;2;2;26;15;3;5;1;1;23;18;4;3;13;26;-;-;2;3;464;395;376;319;105;115;40;27
Flamengo;São Paulo;13.08.2023 18:30;1;1;1.49;0.83;47%;53%;17;7;4;1;9;3;4;3;17;15;8;2;3;5;21;13;0;3;13;14;-;-;2;6;590;494;519;430;129;99;83;25
Fortaleza;Santos;13.08.2023 18:30;4;0;2.87;0.53;53%;47%;25;8;10;3;12;3;3;2;21;17;10;6;1;3;19;19;3;6;19;20;-;-;2;1;399;308;323;240;96;74;56;33
América-MG;Goiás;13.08.2023 16:00;0;1;0.78;0.28;65%;35%;14;9;2;3;6;6;6;0;11;14;7;3;2;0;17;12;2;2;12;12;1;0;0;1;674;308;586;237;163;78;78;32
Corinthians;Coritiba;13.08.2023 16:00;3;1;2.52;0.92;58%;42%;15;11;9;4;6;4;0;3;13;18;4;2;2;0;16;20;3;6;17;13;-;-;2;2;569;438;501;355;105;91;41;32
Grêmio;Fluminense;13.08.2023 16:00;2;1;1.17;0.85;34%;66%;11;18;5;7;5;9;1;2;10;14;3;8;3;2;14;27;6;3;11;7;-;-;3;4;309;729;238;649;74;127;35;58
Atlético-MG;Bahia;13.08.2023 11:00;1;0;0.97;0.79;43%;57%;10;13;4;5;6;4;0;4;13;18;2;9;4;1;29;24;5;3;15;12;0;1;2;1;296;505;243;419;61;120;30;68
Botafogo;Internacional;12.08.2023 21:00;3;1;2.38;1.21;53%;47%;16;9;10;4;5;5;1;0;13;13;7;3;0;4;19;15;3;7;15;10;-;-;3;3;510;475;418;390;124;105;52;21
Cuiabá;Flamengo;06.08.2023 20:00;3;0;2.15;0.76;42%;58%;16;9;7;4;7;2;2;3;9;10;10;6;1;0;17;20;4;4;9;9;-;-;2;0;330;539;264;474;70;122;46;87
Bahia;América-MG;06.08.2023 18:30;3;1;1.49;0.62;61%;39%;23;6;7;5;13;1;3;0;20;13;7;2;2;3;18;12;4;4;20;19;0;1;4;5;491;260;417;187;119;73;62;20
Coritiba;Red Bull Bragantino;06.08.2023 18:30;0;1;0.40;1.07;50%;50%;9;12;1;2;6;8;2;2;20;22;3;4;2;0;38;42;1;1;21;22;-;-;3;5;389;357;300;261;89;102;53;48
Cruzeiro;Botafogo;06.08.2023 18:30;0;0;1.06;0.07;59%;41%;11;2;4;1;5;1;2;0;6;17;8;1;1;1;30;18;1;4;16;7;-;-;1;2;606;270;515;203;153;61;54;12
São Paulo;Atlético-MG;06.08.2023 16:00;0;2;0.94;2.06;62%;38%;16;8;2;2;10;6;4;0;16;20;8;3;6;1;27;12;0;2;15;17;-;-;6;5;620;290;546;220;152;65;79;23
Vasco;Grêmio;06.08.2023 16:00;1;0;1.60;1.34;51%;49%;10;11;4;4;6;3;0;4;18;18;5;7;1;2;17;31;4;3;19;17;-;-;1;1;486;430;408;340;115;123;38;66
Fluminense;Palmeiras;05.08.2023 21:00;2;1;2.49;0.91;49%;51%;10;16;5;5;3;6;2;5;23;21;0;8;3;3;16;14;4;3;18;21;1;0;6;2;428;382;364;294;53;106;19;63
Goiás;Fortaleza;05.08.2023 18:30;1;0;0.93;0.71;38%;62%;10;10;4;4;4;2;2;4;10;18;5;2;2;0;22;24;4;3;15;10;-;-;1;3;354;592;276;521;84;133;47;65
Internacional;Corinthians;05.08.2023 18:30;2;2;1.54;1.03;55%;45%;14;9;4;3;5;6;5;0;11;15;1;4;0;2;21;20;1;2;17;7;1;0;5;3;574;466;494;401;137;93;52;32
Santos;Athletico-PR;05.08.2023 16:00;1;1;-;-;60%;40%;6;3;2;2;2;1;2;0;30;16;3;3;2;2;15;13;1;1;19;26;-;-;3;2;598;316;514;256;116;80;57;22
Goiás;Grêmio;30.07.2023 18:30;1;1;0.80;0.29;45%;55%;14;8;2;2;8;1;4;5;11;20;6;5;2;1;21;19;1;1;20;11;-;-;4;2;394;535;327;455;105;101;46;44
América-MG;Palmeiras;30.07.2023 16:00;1;4;1.29;0.84;48%;52%;13;13;7;7;4;1;2;5;20;13;5;4;1;7;19;12;3;6;13;12;-;-;2;1;409;449;331;364;123;97;59;37
Botafogo;Coritiba;30.07.2023 16:00;4;1;1.02;1.17;53%;47%;14;9;7;5;5;4;2;0;12;14;7;3;0;1;13;16;4;3;14;12;-;-;1;3;531;427;462;367;117;94;51;28
São Paulo;Bahia;30.07.2023 11:00;0;0;1.82;0.57;60%;40%;15;11;10;2;3;9;2;0;15;22;10;5;6;0;34;12;2;10;13;14;-;-;0;4;-;-;-;-;157;98;69;22
Atlético-MG;Flamengo;29.07.2023 21:00;1;2;0.91;1.89;41%;59%;21;6;6;5;8;1;7;0;13;22;7;2;1;0;18;16;3;5;21;14;-;-;3;5;383;564;310;502;45;70;9;23
Corinthians;Vasco;29.07.2023 18:30;3;1;1.15;1.45;54%;46%;13;22;7;5;3;13;3;4;12;13;0;6;0;0;14;19;4;4;12;11;-;-;2;0;649;518;584;456;108;114;48;55
Fortaleza;Red Bull Bragantino;29.07.2023 18:30;0;3;0.90;2.57;49%;51%;11;21;2;11;4;6;5;4;22;21;2;9;5;1;25;18;8;2;16;24;-;-;2;3;364;436;288;344;127;115;36;54
Athletico-PR;Cruzeiro;29.07.2023 16:00;3;3;3.33;2.03;49%;51%;13;10;6;5;6;5;1;0;24;17;7;5;1;1;26;24;2;3;15;22;-;-;1;4;393;374;318;292;80;93;32;56
Fluminense;Santos;29.07.2023 16:00;1;0;1.85;0.17;65%;35%;14;4;8;0;4;4;2;0;17;19;6;2;0;0;24;15;0;7;18;19;-;-;6;6;588;234;517;185;133;45;71;19
Internacional;Cuiabá;29.07.2023 16:00;1;2;1.16;0.87;67%;33%;15;11;4;5;5;4;6;2;10;16;7;5;2;1;23;12;3;3;14;11;1;0;5;2;732;342;651;256;133;100;65;28
Coritiba;Fluminense;24.07.2023 19:00;2;0;1.83;1.11;32%;68%;8;15;5;4;3;8;0;3;7;15;7;11;0;1;24;34;4;3;16;6;-;-;2;1;244;660;176;581;48;159;32;93
Vasco;Athletico-PR;23.07.2023 18:30;0;2;1.26;1.46;54%;46%;16;10;2;2;12;6;2;2;21;17;8;2;2;1;26;14;1;2;18;21;0;1;2;3;479;351;402;288;114;67;66;33
Cruzeiro;Goiás;23.07.2023 16:00;0;1;0.96;0.28;60%;40%;14;6;1;2;8;3;5;1;24;12;13;1;2;2;30;27;1;1;8;22;-;-;4;5;601;291;499;221;138;100;92;39
Red Bull Bragantino;Internacional;23.07.2023 16:00;0;0;1.01;0.83;53%;47%;17;10;4;4;11;3;2;3;17;15;13;4;0;3;21;23;4;4;15;14;-;-;3;2;435;366;326;285;120;102;62;32
Santos;Botafogo;23.07.2023 16:00;2;2;0.76;0.81;42%;58%;6;18;2;7;2;10;2;1;19;23;2;8;1;0;18;24;5;0;23;20;-;-;3;3;290;533;215;447;77;118;31;44
Grêmio;Atlético-MG;22.07.2023 21:00;1;0;0.71;0.87;38%;62%;6;15;2;4;2;8;2;3;16;8;3;8;1;1;20;24;4;1;7;17;-;-;3;4;352;603;260;513;111;142;34;62
Bahia;Corinthians;22.07.2023 18:30;0;0;1.33;0.12;56%;44%;16;5;5;1;8;2;3;2;25;14;11;5;2;4;28;25;1;5;13;20;-;-;3;2;505;373;424;287;149;91;77;27
Cuiabá;São Paulo;22.07.2023 18:30;2;1;2.35;0.33;30%;70%;12;9;6;3;5;5;1;1;17;13;2;4;2;0;15;19;2;4;9;15;-;-;2;5;225;560;171;498;72;109;29;39
Flamengo;América-MG;22.07.2023 16:00;1;1;-;-;62%;38%;14;16;6;4;5;7;3;5;15;12;12;7;4;4;24;14;3;5;8;13;-;-;2;4;613;326;521;248;80;70;56;38
Palmeiras;Fortaleza;22.07.2023 16:00;3;1;-;-;57%;43%;13;12;5;6;7;3;1;3;28;16;4;4;1;1;19;21;5;2;16;28;-;-;3;6;441;266;375;189;79;67;38;30
Goiás;Atlético-MG;17.07.2023 20:00;0;0;1.79;0.26;42%;58%;15;7;3;1;6;2;6;4;14;15;6;4;0;0;21;26;1;3;16;14;0;1;5;4;325;537;257;451;102;106;47;38
Athletico-PR;Bahia;16.07.2023 18:30;2;0;-;-;52%;48%;15;8;7;6;6;2;2;0;10;19;5;3;5;0;20;23;6;5;14;9;-;-;2;1;512;476;439;395;97;96;43;35
Internacional;Palmeiras;16.07.2023 18:30;0;0;-;-;50%;50%;9;15;4;5;4;7;1;3;14;19;4;7;0;2;24;16;5;4;18;13;-;-;1;3;410;434;340;365;90;163;51;48
Fluminense;Flamengo;16.07.2023 16:00;0;0;0.87;0.35;52%;48%;15;8;8;3;4;3;3;2;19;26;8;1;1;1;15;16;3;8;25;20;0;1;7;5;471;360;396;306;102;93;53;51
Fortaleza;Cuiabá;16.07.2023 16:00;0;1;0.83;0.67;63%;37%;20;8;6;1;9;6;5;1;16;19;10;0;1;2;40;23;0;6;17;17;-;-;5;4;518;216;435;162;136;76;70;27
São Paulo;Santos;16.07.2023 16:00;4;1;3.91;0.41;59%;41%;23;8;7;3;11;4;5;1;16;20;4;3;2;2;15;24;2;3;20;15;-;-;3;5;478;275;421;201;101;85;41;32
Cruzeiro;Coritiba;16.07.2023 11:00;0;0;0.81;0.99;53%;47%;11;15;2;6;8;7;1;2;16;15;11;8;1;5;21;24;6;2;14;11;-;-;1;4;445;344;359;264;100;105;46;49
Botafogo;Red Bull Bragantino;15.07.2023 21:00;2;0;0.96;1.04;43%;57%;9;16;3;8;6;5;0;3;13;17;4;11;1;3;23;29;8;1;15;11;-;-;1;1;313;558;225;446;78;153;28;52
Fortaleza;Athletico-PR;09.07.2023 18:30;1;0;1.51;1.10;52%;48%;19;10;6;2;10;6;3;2;18;14;7;2;6;0;24;17;2;5;10;18;-;-;3;3;431;381;353;324;104;102;66;27
Grêmio;Botafogo;09.07.2023 18:30;0;2;1.98;1.17;48%;52%;22;15;4;6;15;6;3;3;15;8;10;2;1;1;31;10;4;4;7;13;-;-;2;5;521;448;427;381;130;114;66;33
Fluminense;Internacional;09.07.2023 16:00;2;0;1.06;0.44;55%;45%;13;9;6;0;2;5;5;4;17;20;7;4;3;0;19;21;0;4;18;16;-;-;2;3;520;404;442;327;119;79;49;49
Red Bull Bragantino;São Paulo;09.07.2023 16:00;0;0;1.55;0.46;53%;47%;23;4;4;1;12;3;7;0;9;16;6;4;0;0;22;25;1;4;15;9;-;-;2;2;427;327;337;229;126;72;68;28
Santos;Goiás;09.07.2023 11:00;4;3;2.40;2.11;38%;62%;14;11;7;4;4;4;3;3;22;17;8;13;1;4;16;20;1;3;16;18;1;1;6;2;301;574;214;499;65;127;42;58
Palmeiras;Flamengo;08.07.2023 21:00;1;1;1.01;0.94;42%;58%;13;10;3;4;7;5;3;1;18;18;4;7;5;3;21;20;3;2;13;16;-;-;2;3;407;541;338;471;89;125;42;55
Atlético-MG;Corinthians;08.07.2023 18:30;0;1;1.54;0.75;55%;45%;25;8;6;2;8;2;11;4;7;15;10;2;0;0;18;16;1;6;15;7;-;-;3;2;565;398;475;322;144;98;59;28
Coritiba;América-MG;08.07.2023 18:30;3;1;1.58;0.93;44%;56%;13;16;7;3;3;9;3;4;21;17;7;8;2;0;26;29;2;4;16;19;-;-;5;3;312;435;222;348;81;135;29;57
Cuiabá;Bahia;08.07.2023 16:00;1;1;1.47;0.32;43%;57%;8;6;6;3;2;3;0;0;12;22;5;5;9;0;18;17;2;5;12;11;-;-;2;3;370;500;296;425;105;109;37;41
Vasco;Cruzeiro;08.07.2023 16:00;0;1;1.24;0.48;54%;46%;9;7;1;5;6;2;2;0;16;7;4;6;3;1;30;23;4;1;7;18;-;-;2;3;489;360;401;274;118;99;63;33
Goiás;Coritiba;03.07.2023 20:00;1;2;1.73;0.83;59%;41%;17;13;8;8;6;3;3;2;23;23;7;2;1;1;26;24;6;7;20;24;-;-;5;8;513;272;421;199;153;94;69;35
Cuiabá;Santos;02.07.2023 18:30;3;0;1.36;0.29;49%;51%;14;5;6;2;5;1;3;2;17;8;9;5;1;1;26;36;2;3;7;16;-;-;0;2;369;412;280;330;109;77;46;32
