HomeTeam;AwayTeam;DateTime;FTHG;FTAG;HGE;AGE;HPB;APB;HTG;ATG;HCG;ACG;HCF;ACF;HCB;ACB;HFC;AFC;HES;AES;HIP;AIP;HLC;ALC;HDG;ADG;HFT;AFT;HCV;ACV;HCA;ACA;HPT;APT;HPC;APC;HATK;AATK;HATKP;AATKP
Santos;Fluminense;29.11.2023 19:00;0;3;1.65;1.33;35%;65%;26;9;8;6;13;2;5;1;10;19;5;3;3;0;15;16;3;8;18;9;-;-;2;3;290;686;240;617;82;89;73;28
Vasco;Corinthians;28.11.2023 21:30;2;4;1.32;1.49;49%;51%;20;14;9;6;9;2;2;6;5;9;8;3;0;1;23;13;2;7;9;6;-;-;3;1;553;504;472;443;126;96;65;38
Goiás;Cruzeiro;27.11.2023 21:00;0;1;0.39;0.81;44%;56%;10;11;3;7;7;4;0;0;18;14;4;5;0;3;16;18;6;3;18;17;-;-;3;3;352;403;282;318;90;93;49;59
América-MG;Flamengo;26.11.2023 18:30;0;3;0.41;2.81;44%;56%;11;21;1;7;9;9;1;5;13;10;3;7;0;0;11;15;4;1;9;13;-;-;4;4;398;548;334;466;80;104;41;67
Fortaleza;Palmeiras;26.11.2023 18:30;2;2;1.90;0.87;39%;61%;20;11;7;5;9;3;4;3;12;18;4;7;0;1;16;11;3;5;18;12;0;1;2;2;277;448;224;372;70;99;33;27
Internacional;Red Bull Bragantino;26.11.2023 18:30;1;0;1.08;0.45;41%;59%;7;15;2;5;3;6;2;4;16;16;4;7;0;4;18;14;5;1;18;12;-;-;5;5;303;494;205;407;70;144;22;72
São Paulo;Cuiabá;26.11.2023 18:30;0;0;0.85;0.10;59%;41%;19;3;4;0;8;2;7;1;9;10;5;1;1;2;15;14;0;4;12;11;-;-;1;0;710;425;652;356;126;72;54;40
Atlético-MG;Grêmio;26.11.2023 16:00;3;0;2.18;1.38;47%;53%;16;19;6;6;8;9;2;4;10;11;7;7;1;0;12;10;6;3;10;12;-;-;2;2;440;499;371;436;81;131;41;67
Botafogo;Santos;26.11.2023 16:00;1;1;1.56;0.25;48%;52%;18;6;5;4;9;0;4;2;22;13;4;5;1;3;22;24;3;4;14;15;-;-;2;3;387;452;322;383;91;115;54;38
Fluminense;Coritiba;25.11.2023 21:00;2;1;1.83;0.84;61%;39%;20;16;7;3;10;10;3;3;13;16;6;5;1;4;17;21;2;5;15;11;-;-;2;2;575;354;524;288;116;90;56;46
Athletico-PR;Vasco;25.11.2023 19:30;0;0;1.51;0.69;52%;48%;18;8;4;2;12;4;2;2;20;18;5;1;2;2;27;23;2;4;15;19;-;-;1;4;423;347;351;278;113;64;70;24
Corinthians;Bahia;24.11.2023 21:00;1;5;0.91;2.96;61%;39%;12;11;2;7;9;2;1;2;15;8;3;3;1;1;29;18;2;1;7;14;-;-;2;3;639;337;556;266;151;74;48;27
Flamengo;Red Bull Bragantino;23.11.2023 21:30;1;0;1.12;1.17;54%;46%;13;16;4;3;5;8;4;5;17;13;8;6;2;2;20;14;3;3;11;15;0;1;4;3;439;375;351;308;106;110;46;38
Fortaleza;Botafogo;23.11.2023 19:00;2;2;2.06;0.68;37%;63%;15;8;4;1;7;5;4;2;19;20;4;5;2;0;18;23;0;2;17;19;-;-;2;4;257;547;190;481;63;120;50;42
Fluminense;São Paulo;22.11.2023 21:30;1;0;1.01;0.07;56%;44%;24;4;8;1;10;1;6;2;16;24;3;4;1;2;12;18;1;7;23;14;0;1;5;5;502;337;445;263;96;59;62;26
Cruzeiro;Vasco;22.11.2023 19:00;2;2;1.32;0.57;50%;50%;12;7;4;4;6;3;2;0;14;13;7;5;3;6;24;32;2;2;12;8;0;1;1;0;410;413;330;335;127;84;54;29
Fortaleza;Cruzeiro;18.11.2023 18:30;0;1;-;-;47%;53%;16;7;7;2;6;4;3;1;14;17;11;1;6;0;14;16;1;7;16;14;-;-;1;1;349;324;277;259;89;82;61;28
Atlético-MG;Goiás;12.11.2023 18:30;2;1;1.43;0.74;52%;48%;8;22;4;6;3;10;1;6;15;16;3;7;1;3;9;19;5;2;17;16;1;0;1;2;417;399;341;319;107;106;22;46
Bahia;Athletico-PR;12.11.2023 18:30;1;1;2.23;0.72;51%;49%;24;6;6;4;12;0;6;2;14;7;11;5;0;0;23;16;3;5;8;14;-;-;3;4;434;406;338;329;131;100;77;36
Cuiabá;Fortaleza;12.11.2023 18:30;2;1;1.40;0.39;41%;59%;7;11;4;2;3;5;0;4;15;7;2;9;2;2;13;18;1;2;7;15;-;-;1;2;345;611;288;539;66;144;19;76
Santos;São Paulo;12.11.2023 18:30;0;0;0.65;1.29;37%;63%;10;11;3;2;5;8;2;1;13;12;1;4;1;1;13;36;2;3;12;14;-;-;0;2;258;636;205;558;87;121;33;43
Vasco;América-MG;12.11.2023 18:30;2;1;1.07;2.39;52%;48%;17;14;6;6;9;5;2;3;12;13;7;8;0;0;21;20;5;4;14;12;-;-;1;1;426;417;343;338;94;98;38;56
Grêmio;Corinthians;12.11.2023 16:00;0;1;0.87;0.43;60%;40%;22;10;8;4;11;4;3;2;6;15;12;1;2;0;21;13;3;8;15;6;1;1;2;6;622;240;525;166;167;66;133;21
Red Bull Bragantino;Botafogo;12.11.2023 16:00;2;2;2.18;0.99;60%;40%;23;10;6;4;13;3;4;3;20;12;7;3;0;3;30;21;2;4;12;16;-;-;2;1;520;260;417;174;148;69;73;30
Palmeiras;Internacional;11.11.2023 21:00;3;0;1.73;0.79;41%;59%;17;7;9;5;6;2;2;0;13;12;6;3;3;1;15;24;5;6;13;13;-;-;1;2;347;582;274;508;90;117;40;37
