HomeTeam;AwayTeam;DateTime;FTHG;FTAG;HGE;AGE;HPB;APB;HTG;ATG;HCG;ACG;HCF;ACF;HCB;ACB;HFC;AFC;HES;AES;HIP;AIP;HLC;ALC;HDG;ADG;HFT;AFT;HCV;ACV;HCA;ACA;HPT;APT;HPC;APC;HATK;AATK;HATKP;AATKP
Red Bull Bragantino;Juventude;15.06.2024 18:30;2;1;-;-;43%;57%;5;14;3;6;1;4;1;4;17;12;1;1;0;5;29;26;5;1;12;12;1;0;4;4;329;535;248;477;94;97;43;49
Bahia;Fortaleza;13.06.2024 21:30;1;0;-;-;53%;47%;12;15;3;6;5;5;4;4;15;13;5;9;0;6;9;20;6;2;14;9;0;0;6;1;518;455;441;369;113;103;84;60
Palmeiras;Vasco;13.06.2024 21:30;2;0;-;-;55%;45%;28;9;7;2;14;7;7;0;15;11;10;6;1;1;24;13;2;5;10;13;0;0;1;2;434;320;350;231;112;121;76;35
Athletico-PR;Criciúma;13.06.2024 20:00;3;1;-;-;58%;42%;20;12;6;3;8;6;6;3;12;13;5;3;2;3;16;24;2;3;8;12;0;0;0;1;497;361;414;298;146;104;62;19
Flamengo;Grêmio;13.06.2024 20:00;2;1;-;-;45%;55%;16;13;6;5;9;5;1;3;9;9;4;6;0;0;16;18;4;4;9;10;0;0;2;4;402;537;356;471;105;142;49;69
Internacional;São Paulo;13.06.2024 20:00;0;0;-;-;49%;51%;7;9;0;4;6;3;1;2;19;15;5;3;1;3;14;20;4;0;15;18;0;0;5;4;396;396;310;329;127;76;70;20
Cruzeiro;Cuiabá;13.06.2024 19:00;2;1;-;-;52%;48%;13;14;7;5;5;4;1;5;13;8;6;4;0;1;22;25;4;5;8;12;0;0;3;2;472;448;401;370;119;101;77;80
Red Bull Bragantino;Atlético-MG;11.06.2024 21:30;1;2;-;-;55%;45%;15;9;6;4;6;1;3;4;18;17;8;5;1;2;20;15;2;5;18;18;1;1;5;6;424;355;340;274;108;72;42;35
Botafogo;Fluminense;11.06.2024 20:00;1;0;-;-;43%;57%;20;6;6;0;11;5;3;1;14;26;14;2;5;0;23;26;0;5;21;13;0;0;3;3;329;430;262;365;78;78;31;26
Atlético-GO;Corinthians;11.06.2024 19:00;2;2;-;-;63%;37%;22;6;8;3;8;2;6;1;4;5;3;4;1;0;15;6;1;6;12;12;0;1;3;5;548;202;469;136;134;34;101;21
Juventude;Vitória;11.06.2024 19:00;1;1;-;-;56%;44%;10;16;2;4;7;9;1;3;9;21;5;4;1;1;25;17;3;1;16;9;0;0;3;4;537;372;452;301;103;89;46;32
Criciúma;Cuiabá;09.06.2024 16:00;2;5;1.54;1.77;56%;44%;19;13;8;7;6;4;5;2;8;12;6;2;5;0;12;19;2;6;10;13;1;0;4;6;546;338;472;262;113;59;64;41
Cuiabá;Vitória;05.06.2024 20:00;0;0;0.41;0.84;54%;46%;9;11;0;3;7;7;2;1;15;20;4;3;1;1;18;21;3;0;19;14;0;0;3;4;469;385;392;317;117;100;45;46
Juventude;Atlético-GO;05.06.2024 19:00;1;0;0.96;1.30;47%;53%;9;19;3;5;5;12;1;2;9;10;4;7;1;1;7;17;5;2;13;12;1;0;3;4;361;487;270;395;82;119;37;46
Fortaleza;Athletico-PR;02.06.2024 18:30;1;0;0.99;0.60;51%;49%;11;12;4;2;5;6;2;4;18;13;2;4;0;1;19;18;2;3;12;17;0;0;3;4;431;415;345;338;103;98;30;46
São Paulo;Cruzeiro;02.06.2024 18:30;2;0;0.61;0.66;56%;44%;11;8;4;3;3;4;4;1;7;3;4;2;0;1;6;11;3;2;18;11;0;1;2;2;582;462;525;403;97;99;45;22
Atlético-MG;Bahia;02.06.2024 16:00;1;1;0.98;0.44;62%;38%;19;8;4;2;11;5;4;1;9;19;5;4;6;0;10;16;1;3;13;9;0;0;6;4;614;346;534;264;127;78;49;31
Criciúma;Palmeiras;02.06.2024 16:00;1;2;1.01;2.59;39%;61%;13;23;3;5;5;10;5;8;10;15;4;6;0;1;12;21;3;2;16;9;0;0;7;3;297;447;226;363;62;118;39;62
Vasco;Flamengo;02.06.2024 16:00;1;6;0.08;3.50;33%;67%;2;28;2;18;0;6;0;4;6;18;1;8;1;1;12;19;12;1;18;5;1;0;2;0;240;683;173;628;56;132;19;64
Corinthians;Botafogo;01.06.2024 21:00;0;1;0.73;1.14;55%;45%;14;8;6;2;6;4;2;2;18;10;2;5;3;2;25;26;1;6;7;16;0;0;2;4;487;413;397;329;116;97;51;38
Cuiabá;Internacional;01.06.2024 18:30;0;1;0.44;0.88;40%;60%;8;9;3;3;2;3;3;3;21;15;0;3;4;1;17;18;2;3;12;22;0;0;4;4;293;526;228;463;75;117;26;45
Fluminense;Juventude;01.06.2024 18:30;1;1;2.25;1.37;58%;42%;15;12;4;3;7;5;4;4;19;14;5;3;1;3;17;15;2;3;13;17;0;1;2;4;559;359;507;300;105;66;59;32
Grêmio;Red Bull Bragantino;01.06.2024 16:00;0;2;0.98;1.24;42%;58%;7;13;1;4;3;6;3;3;20;15;6;0;0;1;34;19;2;1;15;19;0;0;4;2;400;487;313;414;110;110;52;26
Vitória;Atlético-GO;01.06.2024 16:00;0;2;0.54;1.15;36%;64%;12;11;3;5;5;3;4;3;8;6;3;4;0;1;11;11;3;3;8;9;2;0;3;2;305;647;234;587;81;126;25;41
São Paulo;Fluminense;13.05.2024 20:00;2;1;1.41;0.46;47%;53%;15;7;8;2;4;4;3;1;12;19;7;4;4;0;20;18;1;6;15;12;0;0;5;3;433;450;374;389;81;104;51;43
Bahia;Red Bull Bragantino;12.05.2024 18:30;1;0;0.76;0.42;52%;48%;8;15;3;5;3;6;2;4;16;15;6;7;4;3;24;23;5;2;12;15;0;0;2;3;425;427;327;345;76;110;44;38
Vasco;Vitória;12.05.2024 18:30;2;1;1.57;1.32;57%;43%;17;13;8;5;3;5;6;3;12;13;4;4;1;0;17;28;4;6;12;12;0;1;5;2;558;420;500;341;130;103;46;55
Atlético-GO;Cruzeiro;12.05.2024 16:00;0;1;1.05;0.55;48%;52%;17;12;5;5;6;3;6;4;10;11;5;5;0;2;21;19;4;5;13;10;0;0;1;2;402;481;309;379;104;97;48;38
Fortaleza;Botafogo;12.05.2024 16:00;1;1;0.54;0.32;43%;57%;10;11;4;5;5;5;1;1;22;16;6;5;5;0;14;10;4;3;12;19;0;0;4;6;383;530;309;452;108;95;28;29
Palmeiras;Athletico-PR;12.05.2024 16:00;0;2;2.00;0.75;60%;40%;23;11;5;6;11;2;7;3;17;14;9;6;1;1;14;17;4;5;11;17;0;1;4;6;446;287;376;209;119;73;36;25
Flamengo;Corinthians;11.05.2024 16:00;2;0;1.36;1.85;58%;42%;18;13;9;3;4;5;5;5;18;13;13;6;1;1;18;23;3;7;12;16;0;0;1;1;503;362;423;296;115;78;70;37
Botafogo;Bahia;05.05.2024 18:30;1;2;0.84;2.32;55%;45%;15;10;5;4;9;5;1;1;5;14;5;1;6;0;23;13;2;4;10;5;0;0;2;2;554;481;492;393;124;75;61;28
Cuiabá;Palmeiras;05.05.2024 18:30;0;2;0.45;1.62;45%;55%;9;15;1;6;6;6;2;3;12;11;6;6;2;1;10;23;4;1;10;11;0;0;2;3;412;503;347;436;78;113;27;57
Athletico-PR;Vasco;05.05.2024 16:00;1;0;2.27;0.55;58%;42%;26;7;7;1;13;6;6;0;12;14;6;5;3;3;18;18;1;6;11;9;0;1;1;0;517;398;455;320;103;96;66;26
Vitória;São Paulo;05.05.2024 16:00;1;3;0.26;3.17;32%;68%;6;20;2;8;1;7;3;5;16;9;3;8;0;2;16;20;5;1;10;13;1;0;3;4;298;607;231;568;61;100;29;40
Corinthians;Fortaleza;04.05.2024 21:00;0;0;2.42;1.20;62%;38%;18;12;9;2;6;4;3;6;24;12;9;5;0;3;21;19;2;9;14;17;0;0;1;7;580;304;479;217;127;104;80;65
Red Bull Bragantino;Flamengo;04.05.2024 18:30;1;1;0.66;1.44;44%;56%;18;19;3;6;5;6;10;7;11;17;8;4;0;1;26;18;5;2;17;10;0;0;2;2;316;449;225;353;100;84;65;59
Fluminense;Atlético-MG;04.05.2024 16:00;2;2;1.75;1.46;41%;59%;10;19;5;7;3;6;2;6;21;11;4;11;0;3;23;25;5;3;11;18;0;0;4;2;386;477;279;392;98;113;18;41
São Paulo;Palmeiras;29.04.2024 20:00;0;0;0.86;0.73;55%;45%;16;9;1;3;8;3;7;3;20;15;6;4;2;3;24;19;3;1;10;20;0;0;4;3;473;348;373;271;91;102;29;29
